user_id,product_id,ratings
0,2245,4
0,3637,4
0,5580,4
0,5859,4
0,7121,3
0,10405,4
0,16794,5
0,17821,5
0,21252,4
0,27331,5
0,32438,5
0,32744,4
0,34995,5
0,35182,4
0,52539,5
0,55240,4
0,60088,4
0,68083,4
0,69907,3
0,73195,5
0,77441,4
0,78482,5
0,86578,4
0,90468,4
0,96835,4
0,98553,4
0,119511,4
0,119715,3
0,123754,4
0,128638,5
0,128719,5
0,133758,4
0,136250,5
1,911,4
1,1077,5
1,1191,1
1,1718,5
1,2111,5
1,2433,2
1,2726,2
1,3436,5
1,3785,4
1,4433,5
1,4446,5
1,6135,5
1,6248,5
1,6319,2
1,6420,2
1,6454,3
1,7294,3
1,7353,2
1,7534,3
1,7602,4
1,7657,4
1,8063,4
1,8202,3
1,9035,5
1,9249,2
1,9384,2
1,9488,5
1,9872,1
1,10022,2
1,10189,3
1,10337,3
1,11319,2
1,12841,5
1,12861,3
1,13140,4
1,13433,3
1,14537,5
1,14813,5
1,15478,3
1,15491,4
1,15919,4
1,15950,2
1,16027,3
1,16253,3
1,17029,2
1,17403,5
1,17406,4
1,17657,5
1,18161,3
1,18601,4
1,18716,3
1,18963,3
1,19215,3
1,19242,2
1,20179,4
1,20901,4
1,21306,2
1,21667,3
1,22468,2
1,22973,4
1,23170,5
1,23216,3
1,23550,3
1,23767,3
1,23770,3
1,24154,5
1,24427,2
1,24509,3
1,25158,5
1,25182,3
1,25918,4
1,26769,3
1,27529,4
1,27803,3
1,27924,2
1,28381,1
1,29635,1
1,29679,5
1,30402,2
1,30672,3
1,30760,3
1,31264,2
1,31496,3
1,31985,4
1,32604,2
1,32738,4
1,33399,3
1,34175,4
1,34181,2
1,34339,4
1,34546,1
1,35035,1
1,35170,5
1,35350,3
1,35533,5
1,35557,4
1,35959,2
1,36561,2
1,37008,3
1,37046,1
1,37149,3
1,37633,5
1,38241,3
1,39150,4
1,39427,1
1,39748,3
1,40150,5
1,40336,2
1,40419,3
1,40748,5
1,40784,1
1,41286,3
1,41365,3
1,41428,2
1,41838,4
1,42066,4
1,42090,2
1,42906,5
1,43108,5
1,43288,5
1,43419,3
1,43498,4
1,43514,1
1,43626,5
1,44159,1
1,44496,2
1,45026,5
1,45106,2
1,45218,2
1,45375,5
1,45694,5
1,45926,2
1,46001,4
1,46099,1
1,46220,2
1,46581,3
1,46633,2
1,46638,1
1,47427,2
1,48169,3
1,48346,2
1,48658,3
1,49135,4
1,49306,3
1,49796,2
1,50101,3
1,50164,2
1,50211,1
1,50490,5
1,50956,5
1,51163,1
1,51165,3
1,51304,3
1,51310,3
1,52022,5
1,52181,4
1,52379,4
1,52439,5
1,52671,4
1,53404,4
1,53409,1
1,53570,3
1,53918,2
1,53999,3
1,54042,3
1,54365,4
1,54471,4
1,54571,5
1,55187,5
1,55367,4
1,55622,1
1,55861,5
1,56267,1
1,56804,5
1,56885,3
1,57462,2
1,57482,1
1,58475,4
1,59016,4
1,59052,5
1,60107,4
1,60757,5
1,61192,2
1,61661,3
1,61798,5
1,61851,3
1,61870,4
1,62287,1
1,62954,4
1,62982,3
1,63093,5
1,63270,2
1,63634,4
1,63905,5
1,64384,4
1,66166,1
1,66382,4
1,66983,4
1,67065,3
1,67378,3
1,67584,4
1,67865,3
1,68553,4
1,68832,3
1,69526,2
1,69765,1
1,69910,2
1,70296,2
1,70362,4
1,70476,3
1,70961,4
1,71731,2
1,71983,4
1,72017,2
1,72086,4
1,72275,4
1,72309,4
1,72324,3
1,72326,5
1,72384,5
1,72495,2
1,72707,1
1,73182,4
1,73225,2
1,73430,3
1,74766,5
1,74883,2
1,75219,3
1,75228,5
1,75263,3
1,75632,2
1,75728,2
1,75796,3
1,76071,3
1,76545,2
1,76691,3
1,76759,3
1,76870,2
1,76891,2
1,77667,3
1,78599,2
1,79219,3
1,79224,3
1,79400,4
1,79964,3
1,80200,2
1,80612,5
1,80616,2
1,81143,4
1,82156,4
1,82576,3
1,83569,4
1,83709,5
1,83973,3
1,83977,4
1,84441,4
1,84938,3
1,85109,3
1,85224,5
1,85436,2
1,85502,4
1,85639,4
1,86341,2
1,86452,5
1,86601,5
1,87730,5
1,87872,3
1,88226,5
1,88372,5
1,88538,4
1,89139,5
1,89441,5
1,89751,5
1,89999,3
1,91266,3
1,91496,1
1,91694,1
1,92475,4
1,92680,5
1,92691,3
1,93385,5
